"unitid","institution name","year","C2024_A.First or Second Major","C2024_A.CIP Code -  2020 Classification","CipTitle","C2024_A.Award Level code","C2024_A.Grand total","IDX_C"
"110635","University of California-Berkeley","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","121","-2"
"110635","University of California-Berkeley","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","14","-2"
"110635","University of California-Berkeley","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","35","-2"
"110635","University of California-Berkeley","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","0","-2"
"110635","University of California-Berkeley","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","58","-2"
"110644","University of California-Davis","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","96","-2"
"110644","University of California-Davis","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","12","-2"
"110644","University of California-Davis","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","19","-2"
"110644","University of California-Davis","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","39","-2"
"110644","University of California-Davis","2024","First major","'16.0905'","Spanish Language and Literature","Master's degree","5","-2"
"110644","University of California-Davis","2024","First major","'16.0905'","Spanish Language and Literature","Doctor's degree - research/scholarship","9","-2"
"110644","University of California-Davis","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","44","-2"
"110644","University of California-Davis","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","24","-2"
"110653","University of California-Irvine","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","48","-2"
"110653","University of California-Irvine","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","7","-2"
"110653","University of California-Irvine","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","10","-2"
"110653","University of California-Irvine","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","14","-2"
"110653","University of California-Irvine","2024","First major","'16.0905'","Spanish Language and Literature","Master's degree","0","-2"
"110653","University of California-Irvine","2024","First major","'16.0905'","Spanish Language and Literature","Doctor's degree - research/scholarship","4","-2"
"110653","University of California-Irvine","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"110653","University of California-Irvine","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","1","-2"
"110662","University of California-Los Angeles","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","158","-2"
"110662","University of California-Los Angeles","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","25","-2"
"110662","University of California-Los Angeles","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","32","-2"
"110662","University of California-Los Angeles","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","19","-2"
"110662","University of California-Los Angeles","2024","First major","'16.0905'","Spanish Language and Literature","Master's degree","1","-2"
"110662","University of California-Los Angeles","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","36","-2"
"110662","University of California-Los Angeles","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","15","-2"
"110671","University of California-Riverside","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","84","-2"
"110671","University of California-Riverside","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","4","-2"
"110671","University of California-Riverside","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","10","-2"
"110671","University of California-Riverside","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","33","-2"
"110671","University of California-Riverside","2024","First major","'16.0905'","Spanish Language and Literature","Master's degree","4","-2"
"110671","University of California-Riverside","2024","First major","'16.0905'","Spanish Language and Literature","Doctor's degree - research/scholarship","3","-2"
"110671","University of California-Riverside","2024","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","23","-2"
"110671","University of California-Riverside","2024","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","16","-2"
"110680","University of California-San Diego","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","6","-2"
"110680","University of California-San Diego","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","0","-2"
"110680","University of California-San Diego","2024","First major","'16'","Foreign Languages, Literatures, and Linguistics","Doctor's degree - research/scholarship","0","-2"
"110680","University of California-San Diego","2024","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","3","-2"
