"unitid","institution name","year","C2017_A.First or Second Major","C2017_A.CIP Code -  2010 Classification","CipTitle","C2017_A.Award Level code","C2017_A_RV.Grand total","IDX_C"
"107983","Southern Arkansas University Main Campus","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","1","-2"
"107983","Southern Arkansas University Main Campus","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","1","-2"
"108092","University of Arkansas-Fort Smith","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","11","-2"
"108092","University of Arkansas-Fort Smith","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","11","-2"
"109785","Azusa Pacific University","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","10","-2"
"109785","Azusa Pacific University","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","10","-2"
"110097","Biola University","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"110097","Biola University","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","4","-2"
"110097","Biola University","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","2","-2"
"110361","California Baptist University","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","3","-2"
"110361","California Baptist University","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","3","-2"
"110361","California Baptist University","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","3","-2"
"110361","California Baptist University","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","3","-2"
"110413","California Lutheran University","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","5","-2"
"110413","California Lutheran University","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","5","-2"
"110413","California Lutheran University","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","3","-2"
"110413","California Lutheran University","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","3","-2"
"110422","California Polytechnic State University-San Luis Obispo","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","11","-2"
"110422","California Polytechnic State University-San Luis Obispo","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","3","-2"
"110486","California State University-Bakersfield","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","7","-2"
"110486","California State University-Bakersfield","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","1","-2"
"110486","California State University-Bakersfield","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","7","-2"
"110486","California State University-Bakersfield","2017","First major","'16.0905'","Spanish Language and Literature","Master's degree","1","-2"
"110486","California State University-Bakersfield","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","3","-2"
"110486","California State University-Bakersfield","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","3","-2"
"110495","California State University-Stanislaus","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","19","-2"
"110495","California State University-Stanislaus","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","19","-2"
"110495","California State University-Stanislaus","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","12","-2"
"110495","California State University-Stanislaus","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","12","-2"
"110510","California State University-San Bernardino","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","38","-2"
"110510","California State University-San Bernardino","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","1","-2"
"110510","California State University-San Bernardino","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","29","-2"
"110510","California State University-San Bernardino","2017","First major","'16.0905'","Spanish Language and Literature","Master's degree","1","-2"
"110510","California State University-San Bernardino","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","17","-2"
"110510","California State University-San Bernardino","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","12","-2"
"110529","California State Polytechnic University-Pomona","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","24","-2"
"110529","California State Polytechnic University-Pomona","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","24","-2"
"110529","California State Polytechnic University-Pomona","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"110529","California State Polytechnic University-Pomona","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","0","-2"
"110538","California State University-Chico","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","21","-2"
"110538","California State University-Chico","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","17","-2"
"110538","California State University-Chico","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","23","-2"
"110538","California State University-Chico","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","14","-2"
"110547","California State University-Dominguez Hills","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","19","-2"
"110547","California State University-Dominguez Hills","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","19","-2"
"110547","California State University-Dominguez Hills","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"110547","California State University-Dominguez Hills","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","2","-2"
"110556","California State University-Fresno","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","48","-2"
"110556","California State University-Fresno","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","10","-2"
"110556","California State University-Fresno","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","32","-2"
"110556","California State University-Fresno","2017","First major","'16.0905'","Spanish Language and Literature","Master's degree","4","-2"
"110556","California State University-Fresno","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"110556","California State University-Fresno","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","1","-2"
"110565","California State University-Fullerton","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","58","-2"
"110565","California State University-Fullerton","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","30","-2"
"110565","California State University-Fullerton","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","30","-2"
"110565","California State University-Fullerton","2017","First major","'16.0905'","Spanish Language and Literature","Master's degree","12","-2"
"110565","California State University-Fullerton","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","9","-2"
"110565","California State University-Fullerton","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","2","-2"
"110574","California State University-East Bay","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","6","-2"
"110574","California State University-East Bay","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","6","-2"
"110574","California State University-East Bay","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","3","-2"
"110574","California State University-East Bay","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","3","-2"
"110583","California State University-Long Beach","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","126","-2"
"110583","California State University-Long Beach","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","36","-2"
"110583","California State University-Long Beach","2017","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","41","-2"
"110583","California State University-Long Beach","2017","First major","'16.0905'","Spanish Language and Literature","Master's degree","3","-2"
"110583","California State University-Long Beach","2017","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","19","-2"
"110583","California State University-Long Beach","2017","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","2","-2"
"110592","California State University-Los Angeles","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","23","-2"
"110592","California State University-Los Angeles","2017","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","14","-2"
