"unitid","institution name","year","C2015_A.First or Second Major","C2015_A.CIP Code -  2010 Classification","CipTitle","C2015_A.Award Level code","C2015_A_RV.Grand total","IDX_C"
"107141","John Brown University","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","5","-2"
"107512","Ouachita Baptist University","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","4","-2"
"107512","Ouachita Baptist University","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","3","-2"
"107558","University of the Ozarks","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"107558","University of the Ozarks","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","2","-2"
"107983","Southern Arkansas University Main Campus","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","3","-2"
"107983","Southern Arkansas University Main Campus","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","3","-2"
"108092","University of Arkansas-Fort Smith","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","5","-2"
"108092","University of Arkansas-Fort Smith","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","5","-2"
"109785","Azusa Pacific University","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","5","-2"
"109785","Azusa Pacific University","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","5","-2"
"109785","Azusa Pacific University","2015","Second major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","2","-2"
"109785","Azusa Pacific University","2015","Second major","'16.0905'","Spanish Language and Literature","Bachelor's degree","2","-2"
"110097","Biola University","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","0","-2"
"110097","Biola University","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Master's degree","5","-2"
"110097","Biola University","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","0","-2"
"110361","California Baptist University","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","6","-2"
"110361","California Baptist University","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","6","-2"
"110413","California Lutheran University","2015","First major","'16'","Foreign Languages, Literatures, and Linguistics","Bachelor's degree","7","-2"
"110413","California Lutheran University","2015","First major","'16.0905'","Spanish Language and Literature","Bachelor's degree","4","-2"
