"unitid","institution name","year","C2019_A.First or Second Major","C2019_A.CIP Code -  2010 Classification","CipTitle","C2019_A.Award Level code","C2019_A_RV.Grand total","IDX_C"
"178396","University of Missouri-Columbia","2019","First major","'13'","Education","Doctor's degree - research/scholarship","82","-2"
"178402","University of Missouri-Kansas City","2019","First major","'13'","Education","Bachelor's degree","42","-2"
"178402","University of Missouri-Kansas City","2019","First major","'13'","Education","Master's degree","96","-2"
"178402","University of Missouri-Kansas City","2019","First major","'13'","Education","Doctor's degree - research/scholarship","10","-2"
"178420","University of Missouri-St Louis","2019","First major","'13'","Education","Bachelor's degree","145","-2"
"178420","University of Missouri-St Louis","2019","First major","'13'","Education","Master's degree","276","-2"
"178420","University of Missouri-St Louis","2019","First major","'13'","Education","Doctor's degree - research/scholarship","37","-2"
"178615","Truman State University","2019","First major","'13'","Education","Master's degree","91","-2"
"178615","Truman State University","2019","First major","'13.1306'","Foreign Language Teacher Education","Master's degree","4","-2"
"178624","Northwest Missouri State University","2019","First major","'13'","Education","Bachelor's degree","202","-2"
"178624","Northwest Missouri State University","2019","First major","'13'","Education","Master's degree","212","-2"
"178624","Northwest Missouri State University","2019","Second major","'13'","Education","Bachelor's degree","27","-2"
"178697","College of the Ozarks","2019","First major","'13'","Education","Bachelor's degree","37","-2"
"178721","Park University","2019","First major","'13'","Education","Bachelor's degree","23","-2"
"178721","Park University","2019","First major","'13'","Education","Master's degree","102","-2"
"179043","Rockhurst University","2019","First major","'13'","Education","Bachelor's degree","8","-2"
"179043","Rockhurst University","2019","First major","'13'","Education","Master's degree","25","-2"
"179043","Rockhurst University","2019","Second major","'13'","Education","Bachelor's degree","5","-2"
"179159","Saint Louis University","2019","First major","'13'","Education","Bachelor's degree","22","-2"
"179159","Saint Louis University","2019","First major","'13'","Education","Master's degree","43","-2"
"179159","Saint Louis University","2019","First major","'13'","Education","Doctor's degree - research/scholarship","69","-2"
"179326","Southwest Baptist University","2019","First major","'13'","Education","Bachelor's degree","73","-2"
"179326","Southwest Baptist University","2019","First major","'13'","Education","Master's degree","101","-2"
"179326","Southwest Baptist University","2019","First major","'13'","Education","Doctor's degree - research/scholarship","22","-2"
"179548","Stephens College","2019","First major","'13'","Education","Bachelor's degree","4","-2"
"179548","Stephens College","2019","First major","'13'","Education","Master's degree","27","-2"
"179557","Southeast Missouri State University","2019","First major","'13'","Education","Bachelor's degree","168","-2"
"179557","Southeast Missouri State University","2019","First major","'13'","Education","Master's degree","180","-2"
"179557","Southeast Missouri State University","2019","First major","'13.1306'","Foreign Language Teacher Education","Bachelor's degree","0","-2"
"179557","Southeast Missouri State University","2019","Second major","'13'","Education","Master's degree","1","-2"
"179566","Missouri State University-Springfield","2019","First major","'13'","Education","Bachelor's degree","400","-2"
"179566","Missouri State University-Springfield","2019","First major","'13'","Education","Master's degree","166","-2"
"179867","Washington University in St Louis","2019","First major","'13'","Education","Bachelor's degree","11","-2"
